"umlsid"	"parent_1"	"parent_2"	"parent_3"
"C0852663"	"http://bio2rdf.org/meddra:10038997"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0853906"	"http://bio2rdf.org/meddra:10038997"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0853910"	"http://bio2rdf.org/meddra:10038997"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0853912"	"http://bio2rdf.org/meddra:10038997"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0853914"	"http://bio2rdf.org/meddra:10038997"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0853923"	"http://bio2rdf.org/meddra:10038997"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0853919"	"http://bio2rdf.org/meddra:10038997"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0020097"	"http://bio2rdf.org/meddra:10038997"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0036220"	"http://bio2rdf.org/meddra:10038997"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0276535"	"http://bio2rdf.org/meddra:10038997"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0153052"	"http://bio2rdf.org/meddra:10039289"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0857836"	"http://bio2rdf.org/meddra:10057200"	"http://bio2rdf.org/meddra:10047438"	"http://bio2rdf.org/meddra:10021881"
"C0020490"	"http://bio2rdf.org/meddra:10038267"	"http://bio2rdf.org/meddra:10047518"	"http://bio2rdf.org/meddra:10015919"
"C0152455"	"http://bio2rdf.org/meddra:10016250"	"http://bio2rdf.org/meddra:10047635"	"http://bio2rdf.org/meddra:10027433"
"C0220996"	"http://bio2rdf.org/meddra:10047842"	"http://bio2rdf.org/meddra:10047635"	"http://bio2rdf.org/meddra:10027433"
"C0152436"	"http://bio2rdf.org/meddra:10047790"	"http://bio2rdf.org/meddra:10047789"	"http://bio2rdf.org/meddra:10038604"
"C0855243"	"http://bio2rdf.org/meddra:10047792"	"http://bio2rdf.org/meddra:10047789"	"http://bio2rdf.org/meddra:10038604"
"C0021345"	"http://bio2rdf.org/meddra:10024379"	"http://bio2rdf.org/meddra:10047954"	"http://bio2rdf.org/meddra:10005329"
"C0029125"	"http://bio2rdf.org/meddra:10052637"	"http://bio2rdf.org/meddra:10052635"	"http://bio2rdf.org/meddra:10010331"
"C0015927"	"http://bio2rdf.org/meddra:10011907"	"http://bio2rdf.org/meddra:10053172"	"http://bio2rdf.org/meddra:10018065"
"C0020546"	"http://bio2rdf.org/meddra:10000356"	"http://bio2rdf.org/meddra:10057166"	"http://bio2rdf.org/meddra:10047065"
"C0694541"	"http://bio2rdf.org/meddra:10010164"	"http://bio2rdf.org/meddra:10057166"	"http://bio2rdf.org/meddra:10047065"
"C0151620"	"http://bio2rdf.org/meddra:10010164"	"http://bio2rdf.org/meddra:10057166"	"http://bio2rdf.org/meddra:10047065"
"C0152105"	"http://bio2rdf.org/meddra:10010164"	"http://bio2rdf.org/meddra:10057166"	"http://bio2rdf.org/meddra:10047065"
"C0001622"	"http://bio2rdf.org/meddra:10020774"	"http://bio2rdf.org/meddra:10057166"	"http://bio2rdf.org/meddra:10047065"
"C0020538"	"http://bio2rdf.org/meddra:10020774"	"http://bio2rdf.org/meddra:10057166"	"http://bio2rdf.org/meddra:10047065"
"C0001622"	"http://bio2rdf.org/meddra:10052741"	"http://bio2rdf.org/meddra:10057166"	"http://bio2rdf.org/meddra:10047065"
"C0020428"	"http://bio2rdf.org/meddra:10052741"	"http://bio2rdf.org/meddra:10057166"	"http://bio2rdf.org/meddra:10047065"
"C0233818"	"http://bio2rdf.org/meddra:10027375"	"http://bio2rdf.org/meddra:10057167"	"http://bio2rdf.org/meddra:10029205"
"C0019937"	"http://bio2rdf.org/meddra:10030315"	"http://bio2rdf.org/meddra:10068775"	"http://bio2rdf.org/meddra:10029104"
"C0854727"	"http://bio2rdf.org/meddra:10030315"	"http://bio2rdf.org/meddra:10068775"	"http://bio2rdf.org/meddra:10029104"
"C0149911"	"http://bio2rdf.org/meddra:10067229"	"http://bio2rdf.org/meddra:10068775"	"http://bio2rdf.org/meddra:10029104"
"C0178703"	"http://bio2rdf.org/meddra:10067229"	"http://bio2rdf.org/meddra:10068775"	"http://bio2rdf.org/meddra:10029104"
"C0154190"	"http://bio2rdf.org/meddra:10014716"	"http://bio2rdf.org/meddra:10069888"	"http://bio2rdf.org/meddra:10022117"
"C0853690"	"http://bio2rdf.org/meddra:10029559"	"http://bio2rdf.org/meddra:10069888"	"http://bio2rdf.org/meddra:10022117"
