"drugid"	"se"
"DB01394"	"http://bio2rdf.org/umls:C0022951"
"DB00575"	"http://bio2rdf.org/umls:C0424109"
"DB00924"	"http://bio2rdf.org/umls:C0038454"
"DB08826"	"http://bio2rdf.org/umls:C0022658"
"DB00746"	"http://bio2rdf.org/umls:C0012833"
"DB00363"	"http://bio2rdf.org/umls:C0020569"
"DB00746"	"http://bio2rdf.org/umls:C0040034"
"DB08826"	"http://bio2rdf.org/umls:C0877167"
"DB06243"	"http://bio2rdf.org/umls:C0263492"
"DB06243"	"http://bio2rdf.org/umls:C0232462"
"DB01394"	"http://bio2rdf.org/umls:C0302813"
"DB00531"	"http://bio2rdf.org/umls:C0151602"
"DB00746"	"http://bio2rdf.org/umls:C0035222"
"DB01068"	"http://bio2rdf.org/umls:C0233794"
"DB01068"	"http://bio2rdf.org/umls:C2830004"
"DB01068"	"http://bio2rdf.org/umls:C0037036"
"DB00804"	"http://bio2rdf.org/umls:C0233407"
"DB00531"	"http://bio2rdf.org/umls:C0595877"
"DB06243"	"http://bio2rdf.org/umls:C0030554"
"DB00363"	"http://bio2rdf.org/umls:C0001339"
"DB00924"	"http://bio2rdf.org/umls:C0027051"
"DB00363"	"http://bio2rdf.org/umls:C0033975"
"DB00363"	"http://bio2rdf.org/umls:C0040034"
"DB00363"	"http://bio2rdf.org/umls:C0948089"
"DB01394"	"http://bio2rdf.org/umls:C0853034"
"DB00804"	"http://bio2rdf.org/umls:C0011206"
"DB08826"	"http://bio2rdf.org/umls:C0015967"
"DB08826"	"http://bio2rdf.org/umls:C0162830"
"DB00363"	"http://bio2rdf.org/umls:C0035410"
"DB00363"	"http://bio2rdf.org/umls:C0013395"
"DB00531"	"http://bio2rdf.org/umls:C0153618"
"DB00746"	"http://bio2rdf.org/umls:C0456909"
"DB00804"	"http://bio2rdf.org/umls:C0030554"
"DB01068"	"http://bio2rdf.org/umls:C3665347"
"DB00531"	"http://bio2rdf.org/umls:C0002453"
"DB00924"	"http://bio2rdf.org/umls:C1368065"
"DB00250"	"http://bio2rdf.org/umls:C0010200"
"DB00575"	"http://bio2rdf.org/umls:C0020458"
"DB00575"	"http://bio2rdf.org/umls:C1145670"
"DB00363"	"http://bio2rdf.org/umls:C0041349"
"DB00363"	"http://bio2rdf.org/umls:C2242588"
"DB01394"	"http://bio2rdf.org/umls:C0015672"
"DB00363"	"http://bio2rdf.org/umls:C0086439"
"DB00250"	"http://bio2rdf.org/umls:C0877098"
"DB08826"	"http://bio2rdf.org/umls:C0030353"
"DB00531"	"http://bio2rdf.org/umls:C0042510"
"DB00363"	"http://bio2rdf.org/umls:C0020443"
"DB01394"	"http://bio2rdf.org/umls:C0423791"
"DB00363"	"http://bio2rdf.org/umls:C0042510"
"DB01394"	"http://bio2rdf.org/umls:C0027765"
