"drugid"	"geneid"
"DB00696"	"3350"
"DB00589"	"3350"
"DB00320"	"3350"
"DB00320"	"3350"
"DB00490"	"3350"
"DB00363"	"3350"
"DB00669"	"3351"
"DB00247"	"3351"
"DB00952"	"3351"
"DB00216"	"3351"
"DB00953"	"3351"
"DB00669"	"3352"
"DB00247"	"3352"
"DB00952"	"3352"
"DB00216"	"3352"
"DB00953"	"3352"
"DB00669"	"3352"
"DB00661"	"3738"
"DB00661"	"3738"
"DB00104"	"6751"
"DB00104"	"6754"
"DB00104"	"6755"
"DB01006"	"1588"
"DB00357"	"1588"
"DB02329"	"3290"
"DB02329"	"3290"
"DB00661"	"3763"
"DB06155"	"1268"
"DB01122"	"43"
"DB01010"	"43"
"DB00843"	"43"
"DB00989"	"43"
"DB01057"	"43"
"DB00733"	"43"
"DB00382"	"43"
"DB00981"	"43"
"DB00674"	"43"
"DB00733"	"43"
"DB00674"	"43"
"DB00843"	"43"
"DB01182"	"6328"
"DB01429"	"6328"
"DB00527"	"6328"
"DB00680"	"6328"
"DB01056"	"6328"
"DB00527"	"6336"
"DB02925"	"6557"
"DB00695"	"6557"
"DB00419"	"7357"
"DB01118"	"3757"
"DB00204"	"3757"
"DB01429"	"3757"
"DB01244"	"3757"
"DB00489"	"3757"
"DB01118"	"3760"
"DB01244"	"3760"
"DB01132"	"5468"
"DB00215"	"6532"
"DB00656"	"6532"
"DB00176"	"6532"
"DB01104"	"6532"
"DB00715"	"6532"
"DB01175"	"6532"
"DB00715"	"6532"
"DB00715"	"6532"
"DB01175"	"6532"
