C0012569	HP:0000651
C0024138	HP:0007417
C0234215	HP:0010832
C0541887	HP:0004378
C0242656	HP:0004738
C0394006	HP:0002141
C0424296	HP:0000734
C0302590	HP:0004363
C0267994	HP:0001939
C0233407	HP:0001289
C0729233	HP:0004933
C0012739	HP:0005521
C0548823	HP:0011024
C0233414	HP:0007018
C0012813	HP:0002253
C0012817	HP:0010304
C1510475	HP:0002253
C0012833	HP:0002321
C0234988	HP:0002321
C0234987	HP:0002321
C0857087	HP:0002321
C0406811	HP:0007588
C0013132	HP:0002307
C0013144	HP:0002329
C0013146	HP:0000722
C1510472	HP:0000722
C0013170	HP:0000722
C0013182	HP:0100326
C1142139	HP:0001880
C0234547	HP:0001250
C0314719	HP:0001097
C0013238	HP:0001097
C0277960	HP:0011359
C0043352	HP:0000217
C0847631	HP:0004774
C0151908	HP:0000958
C0013295	HP:0002588
C0151966	HP:0002588
C0740401	HP:0002588
C0013298	HP:0004386
C0341245	HP:0002239
C0013336	HP:0003510
C0392699	HP:0003489
C0013362	HP:0001260
C0013363	HP:0002459
C0237326	HP:0002019
C0858618	HP:0007641
C0234979	HP:0002075
C0281825	HP:0002141
C0549609	HP:0011733
C0348024	HP:0002926
C0013378	HP:0000223
C0234144	HP:0010526
C0013384	HP:0100660
C0476254	HP:0010522
C0242339	HP:0003077
C0013390	HP:0100607
C0234162	HP:0001310
C1737329	HP:0002260
C0013395	HP:0002577
C0011168	HP:0002015
C0973461	HP:0002357
C1096340	HP:0002425
C1527344	HP:0001618
C0334044	HP:0008423
C0013404	HP:0002094
C0231807	HP:0002875
C1956415	HP:0002094
C0700201	HP:0002360
C0393593	HP:0001332
C0541919	HP:0001332
C0013428	HP:0100518
C0948296	HP:0000598
C0699744	HP:0008524
C0266589	HP:0000598
C0013456	HP:0010833
C0849907	HP:0000989
C0235282	HP:0000360
C0013491	HP:0000978
C0476369	HP:0003116
C0013528	HP:0010529
C0013537	HP:0100601
C0013592	HP:0000656
C0013595	HP:0000964
C0853246	HP:0000964
C0155177	HP:0000964
C0936250	HP:0000964
C1322253	HP:0000964
C0006114	HP:0002181
C0239819	HP:0000969
C0239340	HP:0000969
C0001792	HP:0008509
C0522055	HP:0003115
C0236141	HP:0003115
C0855329	HP:0003115
C0429087	HP:0005165
C0600125	HP:0003115
C0429098	HP:0003115
C0855333	HP:0005184
C0151878	HP:0001657
C0151879	HP:0003115
C0429029	HP:0003115
C0520887	HP:0003115
C0520886	HP:0003115
C0429059	HP:0005135
C0520888	HP:0003140
C0232333	HP:0003115
C0151611	HP:0002353
C0151613	HP:0003111
C0151614	HP:0003111
C1704431	HP:0003111
C0342579	HP:0003111
C0740464	HP:0003111
C0476397	HP:0000512
C0233479	HP:0000720
C0013922	HP:0001907
C0549124	HP:0001907
C0235487	HP:0001907
C0340726	HP:0001907
C1704212	HP:0001907
C0151618	HP:0001907
C0233459	HP:0100851
C0700361	HP:0100851
C0013985	HP:0100851
C0235113	HP:0100851
C0677660	HP:0100851
C0034067	HP:0002097
C0014038	HP:0002383
C0014065	HP:0002084
C0085584	HP:0007239
C0006109	HP:0007111
C2945606	HP:0002607
C0235970	HP:0006685
C0014121	HP:0006689
C0014130	HP:0000818
C0014132	HP:0100568
C0153658	HP:0100568
C1153706	HP:0010784
C0476089	HP:0010784
C0151622	HP:0000130
C0014170	HP:0010784
C0007103	HP:0010784
C2959547	HP:0002891
C0206630	HP:0002891
C0156394	HP:0000057
C0014335	HP:0004387
C0014356	HP:0004387
C0151623	HP:0004387
C0014394	HP:0010677
C2240374	HP:0001880
C0014457	HP:0001880
C0151788	HP:0001638
C1527407	HP:0002090
C0016689	HP:0007603
C1167709	HP:0001038
C0014527	HP:0007446
C0014534	HP:0000031
C1291078	HP:0002027
C0221490	HP:0002027
C0232570	HP:0002027
C0232493	HP:0002027
C0014544	HP:0001250
C0852977	HP:0001250
C0700136	HP:0005930
C0014571	HP:0006461
C0014583	HP:0100534
C0014591	HP:0000421
C0149678	HP:0004429
C0278126	HP:0002141
C0242350	HP:0008652
C0541941	HP:0200023
C0267055	HP:0100633
C0221252	HP:0001013
C0014733	HP:0001055
C0041834	HP:0010783
C0234906	HP:0010783
C0263358	HP:0010783
C0239488	HP:0001041
C0014742	HP:0010783
C0857751	HP:0010783
C0014743	HP:0010783
C0239454	HP:0010749
C1527405	HP:0001901
C0023440	HP:0004808
C0221395	HP:0001903
C0085580	HP:0000822
C0270736	HP:0001337
C0235146	HP:0000720
C0302859	HP:0009798
C0852967	HP:0001061
C0349790	HP:0002099
C1994994	HP:0001959
C1306503	HP:0001539
C0015300	HP:0000520
C1442903	HP:0100777
C0236826	HP:0002474
C0034935	HP:0003487
C0155388	HP:0000356
C0162292	HP:0007250
C0392788	HP:0002665
C0015371	HP:0002071
C0234133	HP:0002071
C0340464	HP:0006682
C0015397	HP:0000496
C0015403	HP:0002719
C0239429	HP:0100533
C0028850	HP:0000496
C0743680	HP:0001085
C0151827	HP:0200025
C0022281	HP:0000989
C0578682	HP:0000535
C0015423	HP:0000492
C0854286	HP:0000492
C1112366	HP:0000492
C0162285	HP:0100539
C1142349	HP:0010833
C0005745	HP:0000508
C0849918	HP:0000989
C0542571	HP:0000282
C0015464	HP:0010628
C0015467	HP:0100661
C0015468	HP:0100661
C0015469	HP:0007209
C0427055	HP:0010628
C0239517	HP:0003401
C0019069	HP:0003125
C0015732	HP:0002607
C0266813	HP:0002239
C0015544	HP:0001531
C0085639	HP:0002359
C0015556	HP:0011027
C0039685	HP:0001636
C0393615	HP:0001337
C0015624	HP:0001994
C0015644	HP:0002380
C0015645	HP:0100537
C0015663	HP:0008283
C0013928	HP:0001907
C0235433	HP:0009126
C0231230	HP:0003388
C0015672	HP:0003388
C0009952	HP:0002373
C0746883	HP:0001875
C0543392	HP:0002255
C1443060	HP:0010870
C0557911	HP:0010870
C0549385	HP:0005968
C0233488	HP:0000716
C0235129	HP:0010870
C0151639	HP:0000144
C0151640	HP:0000144
C0016034	HP:0006552
C0016053	HP:0003326
C0016057	HP:0100244
C0016169	HP:0010294
C0016199	HP:0002027
C0857516	HP:0000386
C1735601	HP:0100693
C0267995	HP:0011104
C0016382	HP:0001033
C0017668	HP:0004747
C0221384	HP:0000509
C0206682	HP:0006731
C0555973	HP:0002719
C0744131	HP:0002841
C0016512	HP:0009763
C0085684	HP:0003377
C0542476	HP:0007017
C0473237	HP:0000790
C0948396	HP:0002315
C0235318	HP:0003270
C0232807	HP:0000082
C0026946	HP:0002841
C0011630	HP:0001581
C0242301	HP:0011132
C0016867	HP:0011132
C0575081	HP:0001288
C0231688	HP:0002362
C0153452	HP:0100575
C0016977	HP:0005264
C0151669	HP:0010702
C0017086	HP:0100758
C0152020	HP:0002578
C0024623	HP:0006753
C0038354	HP:0002577
C0341177	HP:0004295
C0236048	HP:0004394
C0038358	HP:0002592
C0341164	HP:0002239
C0341163	HP:0002239
C0017152	HP:0005263
C2243088	HP:0005263
C2010560	HP:0005263
C0563238	HP:0005263
C0017160	HP:0004386
C0558348	HP:0004386
C0343886	HP:0004798
C0151544	HP:0002672
C1096250	HP:0002027
C0017178	HP:0011024
C0341212	HP:0100819
C0017181	HP:0002239
C1264613	HP:0004798
C0012241	HP:0011024
C0017185	HP:0007378
C0685938	HP:0007378
C0236124	HP:0004796
C1141929	HP:0005225
C0151664	HP:0011024
C1963818	HP:0011024
C0238198	HP:0007378
C0426576	HP:0011458
C1142499	HP:0011024
C2697368	HP:0004386
C0237938	HP:0002588
C0017168	HP:0002020
C0392034	HP:0100633
C0151603	HP:0007430
C0750016	HP:0001025
C0239725	HP:0010833
C0458104	HP:0010833
C0151281	HP:0003249
C0042065	HP:0007379
C0085207	HP:0009800
C0340274	HP:0008071
C0017547	HP:0000845
C0017565	HP:0000225
C0017563	HP:0000168
C0239735	HP:0010783
C0017566	HP:0000212
C0017567	HP:0000212
C0744403	HP:0000230
C0239739	HP:0010833
C0392378	HP:0000155
C0017574	HP:0000230
C0149704	HP:0010280
C0017601	HP:0000501
C0017636	HP:0100843
C0017638	HP:0009733
C0262497	HP:0010534
C0151667	HP:0010702
C0853068	HP:0000083
C0017658	HP:0000099
C0017665	HP:0000793
C1704320	HP:0000099
C0221239	HP:0000099
C0178664	HP:0000097
C0017675	HP:0000206
